URL,Researcher,Name,Title,Department,Europe,North America,Latin Am. & Carribean,S SE & E Asia,Central & Western Asia,Northern Africa,Subsaharan Africa,Oceania,Artic,Critique of knowledge production,Managing Metabolic processes,Empowerment and inequality,Imagining the future,Understanding the past,Biodiversity,Air,Built Environment,Energy,Representations,Transport,Waste,Water,Food,Abiotic resources,Environment / climate,Human Wellbeing (IRIS),Materials (IRIS),Global Health (IRIS),Intercultural Interaction (IRIS),"Energy, Envir. & Transport (IRIS)",Public Policy & Governance (IRIS),Sustainable Cities (IRIS),Risk & Security (IRIS),Systems Engineering (IRIS)
http://www.geog.ucl.ac.uk/about-the-department/people/research-students/anna-plyushteva,7753aa,Anna Plyushteva,PhD student,Geography,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AANDR64,AANDR64,Alisa Andrasek,Ms,School of Architecture,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,1,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AAPSA97,AAPSA97,Alex Apsan Frediani,Dr,Development Planning Unit,,,1,,,,1,,,,1,1,1,,,,1,,,,,,,,,1,,,,,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ABOGU43,ABOGU43,Anna  Bogush,,"Civil, Environmental and Geomatic Engineering",1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ADAVI16,ADAVI16,Andrew Davies,Prof,School of Construction & Project Mgt,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ADPOR63,ADPOR63,Adriana Ortegon ,,"Civil, Environmental and Geomatic Engineering",1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AEALL54,AEALL54,Adriana Allen,Dr,Development Planning Unit,1,,1,1,,1,1,,,,,,1,,,,1,,,,,1,1,,1,,,1,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AFMAR36,AFMAR36,Alexi Marmot,Prof,The Bartlett School of Graduate Studies,1,1,,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AGGIL08,AGGIL08,Alan Gilbert,Prof,Geography,,,1,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AHROB33,AHROB33,Aeli Roberts,Dr,School of Construction & Project Mgt,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AJCHI76,AJCHI76,Andrew Chilvers,,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,1,1,1,,,,,1,,,,,,,,,1,,,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AJDED98,AJDED98,Andrew Edkins,Dr,School of Construction & Project Mgt,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AJFAT72,AJFAT72,Ava Fatah gen. Schieck,Miss,The Bartlett School of Graduate Studies,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AJHAR86,AJHAR86,Andrew Harris,Dr,Geography,1,,1,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,1,,,
