Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
772354	Anon	Anon		772354	Computer Science	1					1	1				1		1																					
773613	Anon	Anon		773613	Centre for Advanced Spatial Analysis	1										1						1		1	1														
773625	Anon	Anon		773625	Life Sciences	1		1								1				1																			
773628	Anon	Anon		773628	Development Planning Unit		1	1	1						1	1		1												1									
773644	Anon	Anon		773644	Development Planning Unit				1							1						1																	
773673	Anon	Anon		773673	Space & Climate Physics											1		1					1		1														
773675	Anon	Anon		773675	Chemical Engineering													1					1																
773676	Anon	Anon		773676	School of Planning	1			1	1			1		1	1			1			1			1														
773727	Anon	Anon		773727	Institute of Archaeology		1	1								1		1	1	1		1				1				1									
773728	Anon	Anon		773728	Geography	1		1	1								1		1			1		1	1														
773731	Anon	Anon		773731	Faculty of Laws	1										1	1				1	1	1			1	1			1									
773733	Sandra	Jasper	Ms	Andrew Edkins	Geography	1										1			1			1		1															
773734	Anon	Anon		773734	Geography							1				1						1			1														
773772	Anon	Anon		773772	Slade School of Fine Art	1									1							1		1						1									
773781	Anon	Anon		773781	Economics	1										1			1			1						1											
773808	Anon	Anon		773808	UCL Energy Institute	1										1		1					1		1					1									
773854	Anon	Anon		773854	UCL Energy Institute		1	1								1		1			1	1	1			1	1		1										
773896	Anon	Anon		773896	School of Architecture	1									1	1						1		1					1										
773899	Anon	Anon		773899	Development Planning Unit	1		1	1			1			1	1	1						1		1	1	1			1									
773910	Anon	Anon		773910	Development Planning Unit			1								1	1					1																	
773925	Anon	Anon		773925	UCL Energy Institute	1										1		1	1				1																
773928	Anon	Anon		773928	Earth Sciences	1										1							1							1									
773955	Anon	Anon		773955	Development Planning Unit						1	1			1	1	1			1								1											
774378	Anon	Anon		774378	School of Architecture											1						1																	
774402	Anon	Anon		774402	The Bartlett School of Graduate Studies	1										1					1	1	1																
774450	Anon	Anon		774450	UCL Australia								1			1				1			1							1									
774459	Anon	Anon		774459	UCL Australia 											1						1	1																
774471	Anon	Anon		774471	UCL Energy Institute	1										1						1	1																
774486	Anon	Anon		774486	Geography	1									1		1					1		1															
774508	Anon	Anon		774508	Development Planning Unit	1									1	1	1					1		1		1	1	1											
774511	Anon	Anon		774511	Computer Science											1								1	1														
774519	Anon	Anon		774519	School of Architecture	1											1		1			1																	
774561	Anon	Anon		774561	UCL Energy Institute	1										1					1	1	1																
774569	Anon	Anon		774569	School of Construction & Project Mgt				1							1						1																	
774654	Anon	Anon		774654	Political Science			1	1	1					1	1				1			1			1	1			1									
774696	Anon	Anon		774696	School of Planning				1							1		1				1	1																
774767	Anon	Anon		774767	"Civil, Environmental and Geomatic Engineering"											1	1					1																	
774817	Anon	Anon		774817	School of Planning	1										1	1					1		1															
774849	Anon	Anon		774849	UCL Australia	1							1			1	1						1																
